(45, 25), (55, 28), 
(29, 17), (50, 26), 
(48, 27), (55, 29), 
(31, 19), (50, 26), 
(48, 27), (56, 29), 
(44, 25), (50, 27), 
(63, 30), (60, 26), 
(51, 28), (51, 28), 
(68, 30), (63, 25), 
(49, 27), (49, 27), 
(67, 31), (63, 26), 
(50, 27), (49, 27), 
(66, 31), (63, 27), 
(50, 27), (49, 27), 
(67, 31), (63, 27), 
(50, 27), (51, 27), 
(69, 30), (63, 26), 
(54, 28), (54, 27), 
(69, 32), (61, 25), 
(57, 28), (55, 25), 
(71, 32), (62, 26), 
(58, 28), (55, 25), 
(71, 32), (61, 25), 
(56, 28), (55, 27), 
(70, 31), (60, 24), 
(53, 28), (47, 27), 
(67, 30), (60, 23), 
(52, 28), (47, 27), 
(66, 30), (61, 26), 
(53, 28), (45, 26), 
(65, 30), (63, 28), 
(41, 24), (49, 27), 
(61, 30), (58, 28), 
(35, 23), (50, 28), 
(58, 30), (54, 28), 
(34, 22), (50, 29), 
(55, 30), (48, 28), 
(33, 22), (46, 26), 
(49, 28), (48, 28), 
(33, 21), (40, 24), 
(41, 23), (54, 27), 
(34, 21), (37, 22), 
(35, 22), (55, 28), 
(32, 20), (36, 22), 
(32, 20), (53, 28), 
(31, 19), (36, 23), 
(32, 20), (52, 28), 
(31, 19), (36, 23), 
(32, 20), (51, 28), 
(31, 19), (36, 22), 
(31, 20), (51, 27), 
(36, 22), (32, 21), 
(28, 18), (51, 28), 
(40, 24), (29, 19), 
(28, 19), (47, 27), 
(41, 26), (30, 20), 
(30, 20), (43, 25), 
(40, 25), (29, 19), 
(34, 22), (40, 24), 
(39, 24), (28, 18), 
(37, 24), (38, 23), 
(35, 23), (31, 20), 
(43, 27), (31, 20), 
(35, 23), (33, 22), 
(44, 27), (29, 20), 
(36, 24), (37, 25), 
(40, 25), (29, 19), 
(39, 25), (39, 25), 
(37, 24), (33, 20), 
(41, 27), (39, 26), 
(35, 24), (35, 23), 
(43, 26), (39, 25), 
(35, 24), (36, 21), 
(44, 27), (39, 25), 
(37, 25), (40, 26), 
(45, 28), (40, 27), 
(43, 29), (41, 27), 
(47, 28), (43, 26), 
(45, 28), (40, 26), 
(46, 28), (43, 26), 
(48, 29), (41, 26), 
(49, 27), (44, 25), 
(47, 28), (42, 26), 
(50, 29), (45, 26), 
(47, 28), (43, 26), 
(51, 30), (44, 27), 
(49, 30), (46, 28), 
(51, 30), (43, 27), 
(49, 30), (47, 28), 
(53, 31), (44, 27), 
(54, 32), (51, 29), 
(57, 31), (47, 27), 
(58, 33), (50, 29), 
(57, 31), (47, 26), 
(59, 32), (49, 27), 
(59, 28), (48, 26), 
(61, 30), (49, 26), 
(59, 31), (45, 27), 
(65, 33), (47, 27), 
(56, 30), (42, 26), 
(65, 33), (47, 27), 
